年度,統一編號,公司名稱,會計科目,現金及約當現金,透過損益按公允價值衡量之金融資產-流動,透過其他綜合損益按公允價值衡量之金融資產-流動,按攤銷後成本衡量之金融資產-流動,避險之金融資產-流動,合約資產-流動,應收票據淨額,應收帳款淨額,應收帳款-關係人淨額,其他應收款淨額,本期所得稅資產,存貨,預付款項,待出售非流動資產,其他金融資產-流動,其他流動資產,流動資產合計,透過損益按公允價值衡量之金融資產-非流動,透過其他綜合損益按公允價值衡量之金融資產-非流動,按攤銷後成本衡量之金融資產-非流動,合約資產-非流動,採用權益法之投資,不動產廠房及設備,使用權資產,投資性不動產淨額,無形資產,遞延所得稅資產,其他非流動資產,非流動資產合計,資產總額,預付設備款,存出保證金,短期借款,應付短期票券,　　　透過損益按公允價值衡量之金融負債－流動,避險之金融負債-流動,合約負債-流動,應付票據,應付帳款,應付帳款-關係人,其他應付款,本期所得稅負債,負債準備-流動,租賃負債-流動,其他流動負債,流動負債合計,合約負債-非流動,應付公司債,長期借款,負債準備-非流動,遞延所得稅負債,租賃負債-非流動,其他非流動負債,非流動負債合計,存入保證金,負債總額,普通股股本,　　　　預收股本,股本合計,資本公積合計,法定盈餘公積,特別盈餘公積,未分配盈餘,保留盈餘合計,其他權益合計,庫藏股票,歸屬於母公司業主之權益合計,非控制權益,權益總額,負債及權益總計,待註銷股本股數,預收股款約當發行股數,母公司暨子公司所持有之母公司庫藏股股數,
2024,24566673,富鴻網股份有限公司,富鴻網,308738,,,50,,159902,,46384,61627,,427,319921,,,,31675,928297,,,,,,15939,8264,,6749,11780,24351,67083,995380,,,,,,,119422,885,522099,,98648,,55402,474,4532,801462,,,,725,,3506,18993,23224,,824686,260389,,260389,,,,-89268,-89268,,,,,171121,995807,,,,
2024,28497918,博弘雲端,6997 博弘,720946,,,,,,20145,708366,42144,0,,114,87497,,,113,1582321,,,,,,1069,2325,,6,3701,17728,24829,1607150,,,0,,,,224024,,531111,0,102968,19264,,1925,22938,902230,15189,,,,28308,0,33135,76632,,978862,221005,,221005,255519,20632,,123175,,7957,,,,,628288,1607150,,,
2024,96979933,中華電信股份有限公司,2412 中華電,36259689,290,,,1133,8401343,,26025696,193004,,,12087118,3138313,,,26861727,112968313,1005236,4666976,2000000,4327424,9073464,289840144,10912329,12301719,66283202,1661402,19451618,421523514,534491827,,,215000,,,1907,,17742532,480401,26581353,4718103,441801,3557874,9853085,79893042,7540730,21689326,1631354,534684,2658419,7333503,15105913,56493929,,136386971,77574465,,77574465,171587279,77574465,2675419,54953379,135203263,585683,,384950690,13154166,398104856,534491827,,,,,
2024,97176270,台灣大哥大股份有限公司,3045 台灣大,11945684,11008,268591,161088,,6780457,,8943620,485806,3878136,,8833607,996620,,,2337855,44642472,1985440,4123016,95154,7237271,6728977,51800440,11187400,2122869,105444923,895607,5163596,196784693,241427165,,,19290000,5092920,,,41825,13216791,238742,12635036,2540389,159460,3855097,22023057,81770747,126023,25984823,24667728,1611622,1374971,7422099,4540758,65728024,,147498771,37232618,,37232618,29337376,34716971,,13966321,48683292,-135582,-29717344,85400360,8528034,93928394,241427165,,,698751601,,
2024,97179430,遠傳電信股份有限公司,4904 遠傳,5416289,1052421,,647070,,5886564,25271,12233197,448228,,,4362043,1590658,,,740264,32402005,10000,842134,,4447746,2787104,44408911,8843205,887751,83694013,1042475,7387824,154351163,186753168,,,340000,,,,5645,9035689,,7338701,2566102,366494,2938331,8108441,33820257,143030,23780842,21271385,1765686,2393616,5495619,5557920,60408098,,94228355,36057054,,36057054,21362840,20471766,548192,12855390,33875348,-150002,,91145240,1379573,92524813,186753168,,,,,
2023,24566673,富鴻網股份有限公司,富鴻網,243834,,,200,,154401,,102875,87518,,108,580188,,,,34406,1203422,,,,,,13936,18704,,11570,11780,30590,86580,1290002,,,100000,,,,,498222,,89517,,28298,9178,3050,1039236,,,,,,9632,19459,29091,,1068327,351001,,351001,54903,12916,,-197037,-184121,,,,,221783,1290110,,,,,
2023,28497918,博弘雲端,6997 博弘,640349,,,,,,17352,632626,43476,0,,110,144883,,,317,1479113,,,,,,4548,16061,,486,4288,26932,52315,1531428,,,0,,,,297556,,695116,0,85082,7043,,14966,22660,1122423,29180,,,,16212,0,27124,72516,,1194939,200115,,200115,32399,11599,,90431,,1945,,,,,336489,1531428,,,
2023,96979933,中華電信股份有限公司,2412 中華電,33823884,904,,,,6713227,,24841995,78089,,,11520765,2839471,,,23385232,103203567,1035701,4412343,,3768645,8450199,292337742,11237814,9805463,72726545,2099439,14861943,420735834,523939401,,,585000,,,44,14088416,,14395740,385089,25256926,4626265,337406,3504990,2583339,65763215,7560352,30482766,,485267,2460509,7470191,14812761,63271846,,129035061,77574465,,77574465,171289086,77574465,2898503,52618677,133091645,352892,,382308088,12596252,394904340,523939401,,,,
2023,97176270,台灣大哥大股份有限公司,3045 台灣大,13244266,11283,261445,151144,,6100164,,9128414,589232,4464950,,8193068,1030527,3082,,980589,44158164,1821715,5530350,236697,5811221,1793865,50676171,13746288,2182504,111413273,730251,4863862,198806197,242964361,,,18460000,12876257,,,2608499,232394,13245827,131492,11943612,2274634,461400,5785690,7708537,75728342,409315,37980333,20118833,1486571,1393052,7978053,4485708,73851865,,149580207,37232618,,37232618,31302785,33498727,,12182646,45681373,324116,-29717344,84823548,8560606,93384154,242964361,,,698751601,
2023,97179430,遠傳電信股份有限公司,4904 遠傳,4392483,712578,,975746,,5492682,38189,10984098,435266,,,3250810,1430009,,,871359,28583220,,724179,,4119329,2737224,47422141,10620795,924372,90054385,1014863,8825926,166443214,195026434,,,190000,190178,,,2794430,14487,7461769,,7855075,2343991,202840,3755440,10977787,35785997,169462,26577681,25791468,1667729,2269307,6393420,5376809,68245876,,104031873,36057054,,36057054,23490559,19603354,2235038,8685461,30523853,-89282,,89982184,1012377,90994561,195026434,,,,
2022,28497918,博弘雲端,6997 博弘,363448,,,,,,11703,788636,63401,0,,301,135313,,,4731,1367533,,,,,,7200,32122,,1272,2576,18266,61436,1428969,,,20000,,,,221860,,779314,0,69937,11925,,16007,23365,1142408,22793,,,,6942,16334,11951,58020,,1200428,159490,,159490,0,5533,,60969,,2549,,,,,228541,1428969,,,
2021,28497918,博弘雲端,6997 博弘,385677,,,,,,8223,546750,34079,656,,202,104767,,,572,1080926,,,,,,3483,5503,,1831,4066,12579,27462,1108388,,,0,,,,147076,,676292,0,55181,16064,,1872,15706,912191,6641,,,,7404,3778,13845,31668,,943859,49000,,49000,61000,0,,55331,,-802,,,,,164529,1108388,,,
2020,28497918,博弘雲端,6997 博弘,152500,,,,,,8837,369271,23402,6359,,495,68691,,,519,630074,,,,,,1491,6356,,650,2055,5651,16203,646277,,,30000,,,,70048,,341513,22575,36519,6941,,6466,10003,524065,0,,,,1642,0,15864,17506,,541571,49000,,49000,61000,0,,-4931,,-363,,,,,104706,646277,,,
2021,96979933,中華電信股份有限公司,2412 中華電,39778624,2566,,,,5554070,,23947107,41528,,,11327409,2330097,,,8039658,91021059,908775,3615888,,2607744,7332774,289100461,11050936,9662638,83945083,2785006,11039996,422049301,513070360,,,65000,0,6180,8286,12234276,,18063288,391358,24436708,4593458,284813,3210564,998367,64292298,6840056,26976675,1600000,141865,2189411,7061689,12705916,57515612,,121807910,77574465,,77574465,171279625,77574465,2675419,50639022,130888906,-408150,,379334846,11927604,391262450,513070360,,0,0,
2021,97179430,遠傳電信股份有限公司,4904 遠傳,4645674,699174,,1393778,,5268830,24087,8491862,386374,,,3072540,1224173,,,968073,26174565,,5059853,,3362670,2060768,40142014,8264265,624731,83848280,885312,5121123,149369016,175543581,,,210000,351490,,,2981709,7362,6766131,,6645446,2530449,189250,2764961,10951408,33398206,10619613,25278622,28065621,1149926,2139556,4984281,3806976,76044595,,109442801,32585008,,32585008,2389840,21122282,723516,9149448,30995246,-834378,,65135716,965064,66100780,175543581,,0,0,
2021,97176270,台灣大哥大股份有限公司,3045 台灣大,15402025,,268393,,,4667271,,7381414,383074,2734657,,6440116,527355,,,847733,38652038,273767,3702635,,5199779,1880489,43439740,9059855,2591691,81327563,709744,4145226,152330489,190982527,,,20510000,4597793,,,1894828,,11618449,338560,11000399,2549382,74007,3540466,3362888,59486772,89480,37475497,8556973,1392321,1204261,5552881,3947344,58218757,,117705529,35135201,57135,35192336,16903239,31500472,2449739,11028726,44978937,-1823415,-29717344,65533753,7743245,73276998,190982527,,5713464,698751601,
2020,96979933,中華電信股份有限公司,2412 中華電 (上市通信網路業),30419655,9897,,,1752,5331246,,22621902,230696,,,12408903,2306246,,,8472762,81803059,677202,7193174,,2495302,6893001,281415943,11009206,9621322,90284560,3132713,11852510,424574933,506377992,,,67000,6999198,143,,13436706,,15590814,645944,23987962,4369241,313555,3381571,2642977,71435111,7289087,19980272,0,100616,1966538,6215096,10132815,45684424,,117119535,77574465,,77574465,171261379,77574465,2675419,47918166,128168050,927122,,377931016,11327441,389258457,506377992,,0,0,
2020,97179430,遠傳電信股份有限公司,4904 遠傳 (上市通信網路業),5713875,690639,,856480,,4840684,20446,8081801,,,,3116812,823266,,,1008454,25152457,,809560,,3221916,1681518,38205535,8633704,838564,89389771,835461,4660834,148276863,173429320,,,377764,389715,,,2190246,12561,6366459,,6136912,2630252,184512,2758815,1032311,22079547,189322,33771854,39734159,1049170,2173850,5397645,786564,83102564,,105182111,32585008,,32585008,5701421,20299484,598988,8228676,29127148,-99883,,67313694,933515,68247209,173429320,,,0,
2020,97176270,台灣大哥大股份有限公司,3045 台灣大 (上市通信網路業),10777791,0,245446,,,4617051,,7638043,186903,1348704,,5766264,652375,23005,,837212,32092794,,2289746,,3753081,1966894,42479314,9011290,2626185,85766511,883367,3715420,152491808,184584602,,,9800000,14195385,,,1892749,,9625964,160556,11153442,2192429,68531,3505968,5937295,58532319,102767,34973223,8780081,1449171,1063734,5530987,2162108,54062071,,112594390,35124215,0,35124215,18936574,30170398,0,13300996,43471394,-2449739,-29717344,65365100,6625112,71990212,184584602,,0,698751601,
2022,96979933,中華電信股份有限公司,2412 中華電 (上市通信網路業),50192604,3953,,,12891,6055343,,24672473,75061,,,11316406,2398608,,,7174325,101901664,1020203,3491381,,3136801,7155851,291527910,11102549,9803861,79187087,2196645,12679536,421301824,523203488,,,722000,,0,0,13390439,,16428856,539194,25079960,4956465,226019,3338813,1016179,65697925,7674095,30477357,1600000,173033,2300845,7333694,14168111,63727135,,129425060,77574465,,77574465,171300898,77574465,3083569,51868574,132526608,-223084,,381178887,12599541,393778428,523203488,,0,0,
2022,97179430,遠傳電信股份有限公司,4904 遠傳 (上市通信網路業),4886011,623115,,755475,,5160260,25446,9734771,335830,,,2907323,1081939,,,672552,26182722,,4008122,,3670471,2219233,40328499,8184334,756225,78605757,914228,5769108,144455977,170638699,,,436530,1215702,,,3230860,6196,6720829,,7001278,2942192,182325,2739068,4465963,28940943,10373110,26778746,27136067,1191522,2142235,4979074,4908826,77509580,,106450523,32585008,,32585008,26365,21476579,1301537,9651744,32429860,-1773776,,63267457,920719,64188176,170638699,0,0,0,
2022,97176270,台灣大哥大股份有限公司,3045 台灣大 (上市通信網路業),14934740,,249824,,,5092822,,7711033,576760,3359268,,8101340,572104,,,841209,41439100,1181015,4786843,,5397742,1794033,44247993,9784277,2734429,76871365,575978,4258891,151632566,193071666,,,20550000,3092395,,,2079999,,13847707,133150,10373509,2537557,80467,3693801,13179531,69568116,97845,31481943,6282531,1440590,1278223,6155641,3915997,50652770,,120220886,35192336,0,35192336,15326778,32603345,1823415,8954012,43380772,288214,-29717344,64470756,8380024,72850780,193071666,,0,698751601,
2022,24566673,富鴻網股份有限公司,富鴻網,"168,619",,,"34,507",,,,"286,528","226,992",31,10,"636,478","11,431",,,,"1,364,596",,,,,,"11,640","21,857",,"12,984","31,710","33,409","111,600","1,476,196",,,,,,,"368,241",942,"615,644",,"94,317",,"1,719","9,753","4,202","1,094,818",,,,,,"12,259",22944,"1,130,021",,,"351,001",,,"54,903","12,916",,-72645,"-59,729",,,,,"346,175","1,476,196",,,,
2021,24566673,富鴻網股份有限公司,富鴻網,103991,,,52731,,,,313894,158188,35,,290754,18283,,,,937876,,,,,,14261,18248,,4821,29808,"40,663","107,801","1,045,677",,,,,,,62729,,425878,52281,104786,1328,1719,13458,1681,663860,,,,,,5096,18288,23384,,,"351,001",,,54903,12916,,-60387,"-47,471",,,,,"358,433","1,045,677",,,,
2020,24566673,富鴻網股份有限公司,富鴻網,358666,,,50573,,,870,275399,260954,46,,166450,33357,,,,1146315,,,,,999,9528,32897,,963,9531,"27,002","80,920",1227235,,,,,,,90149,,449335,37187,103671,9777,1718,16068,1338,709243,,,,,,17212,18374,35586,,,"351,001",,,"54,903",6322,,70192,"76,514",-12,,,,"482,406",1227235,,,,
